logger_ID,date,logger_serial_number,temperature
19,2021-09-11T06:00:00Z,A541E8,8.06872
19,2021-09-11T07:00:00Z,A541E8,7.94639
19,2021-09-11T08:00:00Z,A541E8,7.88441
19,2021-09-11T09:00:00Z,A541E8,7.84793
19,2021-09-11T10:00:00Z,A541E8,7.85729
19,2021-09-11T11:00:00Z,A541E8,8.16852
19,2021-09-11T12:00:00Z,A541E8,8.98958
19,2021-09-11T13:00:00Z,A541E8,9.94609
19,2021-09-11T14:00:00Z,A541E8,10.2829
19,2021-09-11T15:00:00Z,A541E8,10.4303
19,2021-09-11T16:00:00Z,A541E8,10.2259
19,2021-09-11T17:00:00Z,A541E8,9.81307
19,2021-09-11T18:00:00Z,A541E8,9.40911
19,2021-09-11T19:00:00Z,A541E8,8.99145
19,2021-09-11T20:00:00Z,A541E8,8.5908
19,2021-09-11T21:00:00Z,A541E8,8.24141
19,2021-09-11T22:00:00Z,A541E8,7.86969
19,2021-09-11T23:00:00Z,A541E8,7.46073
19,2021-09-12T00:00:00Z,A541E8,7.07093
19,2021-09-12T01:00:00Z,A541E8,6.71469
19,2021-09-12T02:00:00Z,A541E8,6.39322
19,2021-09-12T03:00:00Z,A541E8,6.16689
19,2021-09-12T04:00:00Z,A541E8,5.96413
19,2021-09-12T05:00:00Z,A541E8,5.72758
19,2021-09-12T06:00:00Z,A541E8,5.47431
19,2021-09-12T07:00:00Z,A541E8,5.2881
19,2021-09-12T08:00:00Z,A541E8,5.55504
19,2021-09-12T09:00:00Z,A541E8,6.65295
19,2021-09-12T10:00:00Z,A541E8,7.98773
19,2021-09-12T11:00:00Z,A541E8,8.84201
19,2021-09-12T12:00:00Z,A541E8,9.45011
19,2021-09-12T13:00:00Z,A541E8,10.5169
19,2021-09-12T14:00:00Z,A541E8,11.2036
19,2021-09-12T15:00:00Z,A541E8,11.2217
19,2021-09-12T16:00:00Z,A541E8,10.8715
19,2021-09-12T17:00:00Z,A541E8,10.4893
19,2021-09-12T18:00:00Z,A541E8,10.0093
19,2021-09-12T19:00:00Z,A541E8,9.47087
19,2021-09-12T20:00:00Z,A541E8,9.00074
19,2021-09-12T21:00:00Z,A541E8,8.70621
19,2021-09-12T22:00:00Z,A541E8,8.47185
19,2021-09-12T23:00:00Z,A541E8,8.25802
19,2021-09-13T00:00:00Z,A541E8,8.00498
19,2021-09-13T01:00:00Z,A541E8,7.83114
19,2021-09-13T02:00:00Z,A541E8,7.65087
19,2021-09-13T03:00:00Z,A541E8,7.48118
19,2021-09-13T04:00:00Z,A541E8,7.28023
19,2021-09-13T05:00:00Z,A541E8,7.03741
19,2021-09-13T06:00:00Z,A541E8,6.7459
19,2021-09-13T07:00:00Z,A541E8,6.51409
